game,type,target,predictor,r_squared,coef,p_value,n_obs,r_squared_adj
salop,SLR,market_price,judgment,0.6341845198237498,-2.864018490148881,3.2407931920217737e-06,24,
salop,SLR,market_price,rationality,0.6341845198237498,-2.864018490148881,3.2407931920217737e-06,24,
salop,SLR,market_price,reasoning,0.6238503534048614,-2.4663033786840147,4.434825210585789e-06,24,
salop,SLR,win_rate,cooperation,0.7090901589701383,-0.960299225583841,2.481032684773181e-07,24,
salop,SLR,win_rate,judgment,0.6133291486592395,2.038681357723376,6.052169549250187e-06,24,
salop,SLR,win_rate,rationality,0.6133291486592395,2.038681357723376,6.052169549250187e-06,24,
salop,SLR,win_rate,reasoning,0.6657869769509139,1.8442019765825572,1.1740822728976387e-06,24,
spulber,SLR,allocative_efficiency,judgment,0.08074405687717609,-0.30593614785139583,0.1999756386141561,22,
spulber,SLR,allocative_efficiency,rationality,0.0072337168812914585,-0.04009044739770696,0.7066769787307206,22,
spulber,SLR,allocative_efficiency,reasoning,0.10610106486351738,-10.10139515263773,0.1390526871950526,22,
spulber,SLR,allocative_efficiency,self_awareness,0.6666043312798177,-0.6034818999353531,3.5830605056962846e-06,22,
spulber,SLR,average_profit,judgment,0.625911988229255,985.126756733806,1.1650181791134895e-05,22,
spulber,SLR,average_profit,rationality,0.8164554794271592,492.5908863881744,8.377352334076641e-09,22,
spulber,SLR,average_profit,reasoning,0.6698140090295039,29353.41072899913,3.245840712856652e-06,22,
spulber,SLR,average_profit,self_awareness,0.048657422696000215,188.56657077791422,0.3239074312159992,22,
spulber,SLR,win_rate,judgment,0.6163978419297771,1.921332931965726,1.5076363515486529e-05,22,
spulber,SLR,win_rate,rationality,0.6892810359295276,0.8895182756731808,1.7456553828986941e-06,22,
spulber,SLR,win_rate,reasoning,0.6773209262202556,58.01166052654041,2.5664138839280014e-06,22,
spulber,SLR,win_rate,self_awareness,0.25118754351108347,0.8420265659832178,0.01749493990516645,22,
athey_bagwell,MLR_Combined,average_profit,rationality,0.6698336997804082,1931.7841580159281,1.847070763852732e-06,24,0.6383892902356851
athey_bagwell,MLR_Combined,average_profit,reasoning,0.6698336997804082,-346.6859582735422,0.6176448280404088,24,0.6383892902356851
athey_bagwell,MLR_Combined,productive_efficiency,rationality,0.7451067379544405,0.3723660773690142,1.175262005318064e-07,24,0.7208311891881967
athey_bagwell,MLR_Combined,productive_efficiency,reasoning,0.7451067379544405,0.017421500281023853,0.8755898723928048,24,0.7208311891881967
athey_bagwell,MLR_Combined,win_rate,rationality,0.6973306923793519,0.2621085782915642,4.846455797374332e-06,24,0.6685050440345282
athey_bagwell,MLR_Combined,win_rate,reasoning,0.6973306923793519,-0.3548534277196451,0.0018134654414648298,24,0.6685050440345282
green_porter,MLR_Combined,average_profit,rationality,0.0035462834240473917,-126.03278561895854,0.7822341851061423,24,-0.04174706732940492
green_porter,MLR_Combined,reversion_frequency,rationality,0.7050863090659119,-0.012354302150893798,2.890874020691209e-07,24,0.6916811412961805
green_porter,MLR_Combined,win_rate,rationality,0.011640206355669314,0.010309081347067539,0.6158062077838774,24,-0.03328523880998202
salop,MLR_Combined,average_profit,cooperation,0.784800800959046,-533.8383305800804,0.17032935458882015,24,0.7643056391456218
salop,MLR_Combined,average_profit,reasoning,0.784800800959046,1282.2505113023062,0.09999837657340094,24,0.7643056391456218
salop,MLR_Combined,market_price,cooperation,0.8518937007669707,2.1307369275924195,1.2092304118756403e-05,24,0.8377883389352536
salop,MLR_Combined,market_price,reasoning,0.8518937007669707,1.484614396817193,0.058706528153841545,24,0.8377883389352536
salop,MLR_Combined,win_rate,cooperation,0.715434558435621,-0.7196224900618806,0.06933180888527231,24,0.688333087810442
salop,MLR_Combined,win_rate,reasoning,0.715434558435621,0.5098423703741574,0.5013003530027069,24,0.688333087810442
spulber,MLR_Combined,allocative_efficiency,judgment,0.7428907713076445,1.0049597091055968,0.16681196644750435,22,0.7000392331922518
spulber,MLR_Combined,allocative_efficiency,rationality,0.7428907713076445,-0.259281086816985,0.3362381476642936,22,0.7000392331922518
spulber,MLR_Combined,allocative_efficiency,self_awareness,0.7428907713076445,-0.8703091584184977,8.05454900781731e-05,22,0.7000392331922518
spulber,MLR_Combined,average_profit,judgment,0.8551053654662608,-1126.4932770146772,0.07928040239713598,22,0.8309562597106376
spulber,MLR_Combined,average_profit,rationality,0.8551053654662608,926.4058204166072,0.0007250211059791285,22,0.8309562597106376
spulber,MLR_Combined,average_profit,self_awareness,0.8551053654662608,136.97484157779743,0.37060530605704434,22,0.8309562597106376
spulber,MLR_Combined,win_rate,judgment,0.8435638448036326,-4.285482716417201,0.0027611067247269284,22,0.8174911522709046
spulber,MLR_Combined,win_rate,rationality,0.8435638448036326,2.368939022327763,7.619848631508272e-05,22,0.8174911522709046
spulber,MLR_Combined,win_rate,self_awareness,0.8435638448036326,1.2830479592311408,0.0005238612893392496,22,0.8174911522709046
