game,condition,target_type,target,analysis,feature,r_squared,r_squared_adj,coef,p_value,n_obs
salop,baseline,magic,cooperation,SLR,reasoning_chars,0.6486925540966557,,-3.942288297735359e-05,0.0015685729332246597,12
salop,baseline,magic,cooperation,SLR,thinking,0.626867755900014,,-0.7444444444444445,0.0021487050802706125,12
salop,baseline,magic,rationality,MLR_Combined,architecture_moe,0.9924329206539623,0.983352425438717,0.11891225143649645,0.018400310856697473,12
salop,more_players,magic,rationality,SLR,thinking,0.9760922977824131,,0.8588229031797046,1.941608255267848e-09,12
salop,more_players,magic,rationality,SLR,reasoning_chars,0.9723365553234693,,4.462221028488645e-05,4.033656613207695e-09,12
salop,baseline,magic,rationality,SLR,thinking,0.9489926039275695,,0.6777777777777776,8.683752986310194e-08,12
salop,baseline,magic,rationality,SLR,reasoning_chars,0.9487315324517099,,3.527866775200813e-05,8.909284311165328e-08,12
salop,baseline,magic,rationality,SLR,family_encoded,0.3415673844135969,,0.35714285714285704,0.04597082456715646,12
salop,more_players,magic,reasoning,SLR,thinking,0.7273879184767444,,0.725676106629441,0.0004218624983396325,12
salop,more_players,magic,reasoning,SLR,reasoning_chars,0.7122429384368973,,3.738164898983352e-05,0.0005574525648990515,12
salop,baseline,magic,reasoning,SLR,reasoning_chars,0.6665740174841838,,3.253382488990061e-05,0.0011951915925369526,12
salop,baseline,magic,reasoning,SLR,thinking,0.6371578028512066,,0.6110121414885966,0.001856517151302903,12
salop,baseline,magic,reasoning,SLR,family_encoded,0.45271753226640044,,0.45236381076568594,0.016494663966969848,12
salop,baseline,performance,win_rate,MLR_Combined,architecture_moe,0.982039653408286,0.9604872374982293,0.16654046673583084,0.032841309165000616,12
salop,more_players,performance,win_rate,SLR,reasoning_chars,0.9644007781595086,,4.306547515643018e-05,1.4283900476734462e-08,12
salop,more_players,performance,win_rate,SLR,thinking,0.9526791927627001,,0.822222222222222,5.9580685101004435e-08,12
salop,baseline,performance,win_rate,SLR,thinking,0.912655971479501,,0.711111111111111,1.299287207952404e-06,12
salop,baseline,performance,win_rate,SLR,reasoning_chars,0.9115454997755357,,3.6996248448870306e-05,1.3847020680542524e-06,12
salop,baseline,performance,win_rate,SLR,family_encoded,0.3743315508021392,,0.3999999999999999,0.034493184883795595,12
spulber,more_players,performance,allocative_efficiency,SLR,version,0.5769256473697855,,0.4079009433962265,0.006689091744621685,11
spulber,baseline,performance,allocative_efficiency,SLR,version,0.5148062263095101,,0.23290094339622658,0.01292545326843979,11
spulber,more_players,performance,average_profit,MLR_Combined,family_encoded,0.8963123922932857,0.7407809807332144,447.2824776201149,0.025327395248505063,11
spulber,more_players,performance,average_profit,SLR,family_encoded,0.7920514122155173,,370.13090910000005,0.00024227328658279234,11
spulber,baseline,performance,average_profit,SLR,family_encoded,0.6829419788608933,,303.36420399835384,0.001713025533157471,11
spulber,baseline,performance,average_profit,SLR,thinking,0.4187773693868221,,265.59447630504116,0.031375021980685015,11
spulber,baseline,performance,average_profit,SLR,reasoning_chars,0.4037148354310569,,0.013571001563870843,0.03565842216871394,11
spulber,more_players,magic,rationality,SLR,version,0.44021499609882586,,0.43310731132075503,0.026029745900169758,11
spulber,more_players,magic,self_awareness,SLR,version,0.5347172143393947,,-0.5319933962264154,0.010555761950024294,11
spulber,baseline,magic,self_awareness,SLR,version,0.4541195110613633,,-0.4541228686233406,0.02298778335866803,11
spulber,more_players,performance,win_rate,MLR_Combined,family_encoded,0.9974972286840847,0.9937430717102118,0.8430378070391545,3.079649117542818e-05,11
spulber,more_players,performance,win_rate,MLR_Combined,thinking,0.9974972286840847,0.9937430717102118,0.4601805086790187,0.04965050617413105,11
spulber,more_players,performance,win_rate,MLR_Combined,reasoning_chars,0.9974972286840847,0.9937430717102118,-2.6723752363146354e-05,0.034387195924575856,11
spulber,more_players,performance,win_rate,SLR,family_encoded,0.9877531313016559,,0.834,6.47261405084863e-10,11
spulber,baseline,performance,win_rate,SLR,family_encoded,0.6682825760925161,,0.5853333333333332,0.0021170211914789947,11
spulber,baseline,performance,win_rate,SLR,version,0.49900130566199663,,-0.6727004716981133,0.015102268801675875,11
spulber,more_players,performance,win_rate,SLR,version,0.4215731831180244,,-0.7246462264150947,0.03062972406389533,11
